"Residency","Region","Borough/Census Area","Community","All Cases","Hospitalized Cases","Deceased Cases"
Alaska Resident,Anchorage,Anchorage Municipality,Anchorage,101865,1671,521
Alaska Resident,Anchorage,Anchorage Municipality,Birchwood,1,0,0
Alaska Resident,Anchorage,Anchorage Municipality,Chugiak,2850,44,14
Alaska Resident,Anchorage,Anchorage Municipality,Eagle River,9922,77,17
Alaska Resident,Anchorage,Anchorage Municipality,Girdwood,508,0,0
Alaska Resident,Gulf Coast,Chugach Census Area,Cordova,627,7,4
Alaska Resident,Gulf Coast,Chugach Census Area,Other,170,6,2
Alaska Resident,Gulf Coast,Chugach Census Area,Valdez,1301,19,5
Alaska Resident,Gulf Coast,Copper River Census Area,Other,1134,31,10
Alaska Resident,Gulf Coast,Kenai Peninsula Borough,Anchor Point,777,15,10
Alaska Resident,Gulf Coast,Kenai Peninsula Borough,Fritz Creek,118,0,0
Alaska Resident,Gulf Coast,Kenai Peninsula Borough,Homer,3705,30,13
Alaska Resident,Gulf Coast,Kenai Peninsula Borough,Kenai,5255,101,30
Alaska Resident,Gulf Coast,Kenai Peninsula Borough,Nikiski,556,21,5
Alaska Resident,Gulf Coast,Kenai Peninsula Borough,Other North,957,20,2
Alaska Resident,Gulf Coast,Kenai Peninsula Borough,Other South,736,9,4
Alaska Resident,Gulf Coast,Kenai Peninsula Borough,Seward,1578,17,5
Alaska Resident,Gulf Coast,Kenai Peninsula Borough,Soldotna,5465,117,35
Alaska Resident,Gulf Coast,Kenai Peninsula Borough,Sterling,933,18,2
Alaska Resident,Gulf Coast,Kodiak Island Borough,Kodiak,5169,63,11
Alaska Resident,Gulf Coast,Kodiak Island Borough,Other,191,2,1
Alaska Resident,Interior,Denali Borough,Healy,255,5,0
Alaska Resident,Interior,Denali Borough,Other,216,0,0
Alaska Resident,Interior,Fairbanks North Star Borough,Ester,138,3,1
Alaska Resident,Interior,Fairbanks North Star Borough,Fairbanks,22238,370,113
Alaska Resident,Interior,Fairbanks North Star Borough,North Pole,6526,97,25
Alaska Resident,Interior,Fairbanks North Star Borough,Other,1289,5,1
Alaska Resident,Interior,Fairbanks North Star Borough,Salcha,275,6,2
Alaska Resident,Interior,Southeast Fairbanks Census Area,Delta Junction,1178,43,11
Alaska Resident,Interior,Southeast Fairbanks Census Area,Other,395,13,2
Alaska Resident,Interior,Southeast Fairbanks Census Area,Tok,538,19,7
Alaska Resident,Interior,Yukon-Koyukuk Census Area,Other,1611,41,11
Alaska Resident,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Palmer Area,10759,114,60
Alaska Resident,Matanuska-Susitna,Matanuska-Susitna Borough,Greater Wasilla Area,24719,300,167
Alaska Resident,Matanuska-Susitna,Matanuska-Susitna Borough,Houston/Big Lake Area,1195,23,15
Alaska Resident,Matanuska-Susitna,Matanuska-Susitna Borough,Other,627,6,3
Alaska Resident,Matanuska-Susitna,Matanuska-Susitna Borough,Sutton-Alpine,347,6,2
Alaska Resident,Matanuska-Susitna,Matanuska-Susitna Borough,Upper Susitna,1,0,0
Alaska Resident,Matanuska-Susitna,Matanuska-Susitna Borough,Willow,622,6,3
Alaska Resident,Northern,Nome Census Area,Nome,2192,9,1
Alaska Resident,Northern,Nome Census Area,Other,4299,9,4
Alaska Resident,Northern,North Slope Borough,Other,1563,11,4
Alaska Resident,Northern,North Slope Borough,Prudhoe Bay,4,0,0
Alaska Resident,Northern,North Slope Borough,Utqiagvik,3002,24,8
Alaska Resident,Northern,Northwest Arctic Borough,Kotzebue,2038,8,4
Alaska Resident,Northern,Northwest Arctic Borough,Other,3095,25,12
Alaska Resident,Southeast,Haines Borough,Haines,766,4,1
Alaska Resident,Southeast,Juneau City and Borough,Juneau,10393,157,22
Alaska Resident,Southeast,Ketchikan Gateway Borough,Ketchikan,4567,40,24
Alaska Resident,Southeast,Ketchikan Gateway Borough,Other,193,3,1
Alaska Resident,Southeast,Petersburg Borough,Other,1,0,0
Alaska Resident,Southeast,Petersburg Borough,Petersburg,835,17,6
