item,Total
SIM SWAP Request,560
Unlock PIN,283
Reset Pin,128
Silent Call - No Response,65
Transaction Reversal - P2P,58
M-pesa Account Transaction,53
Maximum Yearly Money In - Tier 1,53
Main Account,52
Silent Call - Dropped,38
PUK Request,37
Eligibility,32
M-Pesa Agents,32
Send Money P2P,30
Transaction Reversal P2P 100-500,30
SIM SWAP Sensitive,29
Tier Upgrade,27
Registration Update & Tier Upgrade,26
Call Back,25
New Request,23
Txuna Crédito,21
Receive Money,21
Send Money to Unregistered Customer,20
Recharge Voucher,19
Repayment Queries,18
SIM Swap 3G-4G,18
Recharge - Damaged PIN,16
Withdraw cash,15
Transaction Reversal – Voucher,15
Main Account- Txuna Credito,14
Cannot use the services,14
Registration Confirmed,14
Transfer from M-Pesa to e-Mola,13
Pedido de Extracto,13
MSISDN reactivation request,12
Time Out,12
Transfer From Bank To M-Pesa,11
Transaction Reversal – Withdraw Cash,11
Silent Call - Noisy,11
Other Services,11
Loan Balance,10
Bank Issues,10
Barring Service,10
Cannot Make Calls,10
Registration,10
Cannot Send SMS,9
No Signal,9
Buy Credelec,9
SIM Swap Auto-troca 3G-4G,9
Main Account- Informação não actualizada,8
Games,8
Deposit Cash,8
Blocked PUK,8
Pay Bill,8
Registration Update Details & Recycle Request,8
Transaction Reversal – Deposit Agent to Agent,7
Quote request,7
Credit transfer,7
M-Pesa Account Activation,7
Payment Completed,7
Unlocking Request,7
Data Bundles,6
Registration Update Details,6
Credelec Recall last Vend,6
Maximum Yearly Money In - Tier 2,6
Auto-troca 3G-4G,6
Transaction Reversal below 100MT,6
Meu Número 1,6
Vibratoques,6
Contactos de Parceiros,6
Give money,6
WFT,6
CLIR - Caller Line Identity Restriction,6
Transaction Reversal Bank To M-Pesa,6
Cannot Receive Calls,5
Hours and date,5
Transaction Reversal P2P - Used money,5
Not Credited,5
PIN Request,5
Transaction Reversal - M-Pesa to E-mola,5
Oferta de Internet diaria,5
Consulta de Tier,5
Friendly Voucher,5
Buy airtime,4
M-Pesa account suspension by Validation,4
Used Voucher,4
Difficulty to register,4
Limite de envio e recepção de valores,4
Transfer from M-Pesa to MKesh,4
Activation Request,4
Payment -Vodashop cheque,3
Serviço de Conteúdos,3
Golden Number Request Successful,3
Smartphone 4G - Bónus,3
CLIP - Caller Line Identity Presentation,3
M-Pesa  Change pin,3
Terms and Conditions,3
Agentes M-Pesa – Requisitos,3
Conta Xitique,3
Recharge Procedure,3
Data Bundles- Informação não actualizada,3
Fraudulent Activity,3
Time In,3
Client failure report -One  Agent Down,3
Cancelled Transaction from M-Pesa to E-mola,3
M-Pesa Account Suspension,3
Transfer From M-Pesa To Bank,3
M-Pesa account suspension by Spapi,3
MSISDN Swap Request,3
Cannot make and receive Calls,3
GoTV - Novo Tarifário,3
Cannot use USSD code,2
Vodacom Entretenimento,2
Troca de cartões-4.5G,2
SMS sent to Customer,2
Main Account  - Vibratoques,2
Reception of Confirmation SMS,2
Cannot Receive SMS,2
Withdraw Cash Cancelled,2
Trespasse & Recycle Request,2
Jackpot,2
Data Counters,2
Vibratoques Meu Nome,2
Subscriber status 2,2
Youtube,2
SIM Swap-48h barring,2
Amount not received on M-Pesa Account,2
Voucher Automatic Reversal below 100MT,2
Callback Service - Not Available,2
Resend Voucher,2
Roaming Tudobom,2
Tarifa UAU,2
Alcatel 1,2
Manual configuration,2
Locking request,2
SMS,2
Main Account  - Serviços de conteúdos,2
Troca Txintxa,2
Changana,2
Callers,2
Trespasse,2
Corporate APN,2
Transaction Reversal - Deposit Cash,2
Cancelled – Transfer P2P,2
Oferta de Internet Mensal,2
M-pesa  Acount  Status,2
Agentes M-Pesa – Pedidos Requisitos,1
Extracto de Chamadas,1
So Pra ti Social,1
M-Pesa Business Information,1
Recharge - ATM,1
M-Pesa Account Details Update,1
VuClip,1
M-pesa Top Up Down,1
M-Pesa Change Pin,1
3G calls,1
Partial Reversal - P2P 100-500,1
Pop Up – Activação de ofertas,1
Renewal Campaign,1
Trans Reversal – Withdraw 100-1500,1
Recycle Request,1
M-Pesa account Suspended & Dormant Status,1
Congratulate Vodacom,1
Extra Jackpot,1
Transaction Reversal Used Money - M-Pesa to E-mola,1
M-Pesa USSD,1
SIM SWAP Validation Successful,1
Contract -Renewal,1
Contribuições Automáticas,1
Anedotas,1
Transaction Reversal - E-mola to M-Pesa,1
Unlock and Reset PIN,1
Direct Debit,1
Partial Reversal - Withdraw 100-1500,1
Jackpot New Offers,1
M-Pesa Balance,1
Request Account Creation,1
RMS down,1
Main Account - Bom Papo,1
International Roaming,1
Cannot Make International Calls,1
Due Date notifications,1
Bónus  UAU,1
Main Account  - Toke d’Bola,1
Requisitos,1
Post-Paid Invoice Payment,1
Consulta de Taxas via USSD,1
Fraud Customer to Customer (P2P),1
Novos códigos USSD,1
Menu not available,1
Transaction Reversal - Buy Airtime,1
SIM Swap,1
Free WhatsApp Text,1
Internet speed selection - down,1
Rejected registrations - New submission,1
Cancellation Request,1
Aditivos Once-Off,1
Due Amount,1
Alerta de Chamada Perdida,1
ATM Withdrawal,1
MSISDN Swap of Benefits,1
Archived Account,1
Maintenance Services,1
Paga Facil Resend PIN,1
Credit Collection,1
Bom Papo – Pacote Diário,1
ADEM – Última compra,1
Due Date debit Queries,1
Transfer from e-Mola to M-Pesa,1
Simulation,1
Airtime Reversal Request,1
