type,Total
M-Pesa by Customer,944
SIM SWAP,624
Calls and SMS,174
Account Status,91
Txuna M-Pesa,89
VAS,68
M-Pesa by Agent,63
Recharge Vouchers,59
Others,54
PUK and PIN,50
Registration,35
Data Service,34
Carteiras Móveis,29
Golden Number,17
Content services,15
Attendance Book,15
Promotions,11
Stolen Phone,9
Network,9
Trade Partner Helpdesk,7
Product / Service Failure,7
M-PESA Xitique by Customer,5
MSISDN Swap,4
Systems,4
Tarifas,3
Roaming,3
Ofertas YA,3
Campaigns,3
Fraudulent activity,3
Jackpot,2
Language Change,2
M-Pesa Merchant by Customer,2
M-Pesa Merchant by Dealer,2
Update Details,1
Outbound calls,1
Request,1
