Item,Closed,Pending,Resolved,Assigned,WIP,Total
Unlock PIN,34,0,0,0,0,34
SIM SWAP Sensitive,1,0,0,0,0,1
Transaction Reversal Bank To M-Pesa,1,0,0,1,0,2
M-pesa Account Transaction,3,0,0,0,0,3
Recharge - Damaged PIN,3,0,0,0,0,3
SIM SWAP Request,67,0,0,0,0,67
Loan Balance,3,0,0,0,0,3
Reset Pin,11,0,0,0,0,11
Eligibility,1,0,0,1,0,2
Trespasse,1,0,0,1,0,2
M-Pesa Agents,9,0,0,0,0,9
Transaction Reversal - P2P,5,0,0,1,0,6
Silent Call - Dropped,2,0,0,0,0,2
Registration,3,0,0,0,0,3
Withdraw Cash Declined,1,0,0,0,0,1
Cannot Receive Calls,1,0,0,0,0,1
MSISDN reactivation request,3,0,0,0,0,3
Credelec Recall last Vend,1,0,0,0,0,1
Tier Upgrade,4,0,0,12,0,16
Trespasse & Recycle Request,0,0,0,1,0,1
M-Pesa Account Activation,2,0,0,0,0,2
Maximum Yearly Money In - Tier 1,6,0,0,3,0,9
Transaction Reversal ? Withdraw Cash,3,0,0,1,0,4
Other Services,2,0,0,0,0,2
Vibratoques,1,0,0,0,0,1
Repayment Queries,1,0,0,1,0,2
Silent Call - Noisy,2,0,0,0,0,2
Consulta de Tier,1,0,0,0,0,1
Fraud Customer to Customer (P2P),2,0,0,0,0,2
M-Pesa account suspension by Validation,3,0,0,0,0,3
Pedido de Extracto,2,0,0,0,0,2
Fidelidade na rede com bonus,0,0,0,1,0,1
Locking request,1,0,0,0,0,1
Amount not received on M-Pesa Account,1,0,0,0,0,1
M-Pesa Account Suspension,1,0,0,0,0,1
Registration Update Details,1,0,0,1,0,2
Deposit Cash,4,0,0,0,0,4
Agent Float Deposit,0,0,0,2,0,2
Agentes M-Pesa ? Pedidos submetidos,1,0,0,0,0,1
Withdraw cash,3,0,0,0,0,3
Main Account- Txuna Credito,1,0,0,0,0,1
Buy Credelec,1,0,0,0,0,1
Receive Money,3,0,0,0,0,3
What's my number,1,0,0,0,0,1
Registration Update & Tier Upgrade,2,0,0,4,0,6
Silent Call - No Response,4,0,0,0,0,4
Voicemail-Reset PIN,2,0,0,0,0,2
Bank Issues,1,0,0,0,0,1
New Request,3,0,0,0,0,3
Transaction Reversal - Deposit Cash,1,0,0,0,0,1
Data Bundles- Informa�?o n?o actualizada,2,0,0,0,0,2
Transaction Reversal - E-mola to M-Pesa,0,0,0,1,0,1
SIM Swap 3G-4G,1,0,0,0,0,1
Cannot use the services,1,0,0,0,0,1
Cannot Send SMS,1,0,0,0,0,1
Barring Service,2,0,0,0,0,2
Registration Confirmed,0,0,0,1,0,1
Meu N�mero 1,2,0,0,0,0,2
Phones and accessories,1,0,0,0,0,1
Txuna Cr�dito,2,0,0,0,0,2
Data Bundles reallocation,1,0,0,0,0,1
Send Money to Unregistered Customer,2,0,0,0,0,2
M-Pesa Account Details Update,1,0,0,1,0,2
CLIP - Caller Line Identity Presentation,2,0,0,0,0,2
Contract -Renewal,0,0,0,1,0,1
Conta Xitique,1,0,0,0,0,1
PUK Request,1,0,0,0,0,1
Transaction Reversal P2P - Used money,0,0,0,1,0,1
Trans Reversal ? Withdraw 100-1500,1,0,0,0,0,1
SIM Swap-48h barring,1,0,0,0,0,1
Reimbursement Request,0,0,0,1,0,1
No Signal,1,0,0,0,0,1
GoTV - Novo Tarif�rio,1,0,0,0,0,1
Cannot Make Calls,1,0,0,0,0,1
Transaction Reversal P2P 100-500,2,0,0,0,0,2
Contract Cancellation Request,0,0,0,1,0,1
Agentes M-Pesa ? Requisitos,1,0,0,0,0,1
Bom dia promo ? Bonus,1,0,0,0,0,1
Transaction Reversal - Deposit Cash 100-1500,1,0,0,0,0,1
Service Fee,2,0,0,0,0,2
Main Account,1,0,0,0,0,1
Batch Deactivated,0,0,0,1,0,1
Credit transfer,1,0,0,0,0,1
SIM Swap Auto-troca 3G-4G,1,0,0,0,0,1
Oferta de Internet diaria,1,0,0,0,0,1
Manual configuration,1,0,0,0,0,1
Resend Voucher,1,0,0,0,0,1
M-pesa  Acount  Status,1,0,0,0,0,1
Vicinity Check - Withdrawal,1,0,0,0,0,1
Subscriber payments Queries,1,0,0,0,0,1
